Concern,Status,Stage,Also called,Trigger,Consultative,Fact sheet url,Our documentation doc,What does it support,Householder PlanX priority,Open planning software,HMLR Local land charges,CON29,Development plans (inc. Local Plans),Development consent orders (NSIP),Development management,Infrastructure Delivery Strategies,Biodiversity Net Gain,Environmental planning assessment,Historic Environment Record,Environmental outcome report,Planning Inspectorate,Street votes,Site allocations,"Bringing together housing, land and planning geospatial datasets",Description,Policy team,Legislation,Boundary,Point,Metric,Document,Category,Needs a standard,Who is responsible / officially designates,Authoritative source,Where we're getting data from,Expected number of sources,Expected number of records,Frequency of data updates,Related planning considerations,Dataset name,National dataset documentation page,URL of national dataset,License,Personal/sensitive information?,Who asked for it,issue-number,discussion-number,specification-url
SOBI (Single Onshore Boreholes Index),Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,"Records of boreholes, shafts and wells from all forms of drilling and site investigation work ",,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
Social housing,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Social housing is more affordable than housing on the open market. It can be rented from housing associations or councils at reduced rents, or it can be part-sold, part-rented as shared ownership.",,,✓,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Soil parent material model,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Characteristics of the upper 2–3 m of the geology beneath our feet,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
Soil type,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Soil landscapes of England and Wales,,,,,,,,,,Cranfield University,,,,,,,,,,,,,,
Sparsely vegetated land,Backlog,Backlog,,,,,,,,,,,,,,,✓,,,,,,,,Environments where plants are slow to establish and easily disturbed,,,✓,,,,,,,,,,,,,,,,,,,,,
Special areas of conservation,On the platform,On the platform,Protected sites,,,,,,,✓,,,✓,✓,,,,✓,,,,,,✓,An area containing wildlife or marine life habitats and species that need conservation,,Conservation of Habitats and Species Regulations 2017,✓,,,,,,,Natural England,Natural England,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,,
Special educational needs and disabilities (SEND),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Special educational needs and disabilities (SEND) can affect a child or young person’s ability to learn. Mainstream schools must provide access to services and extra support for SEND pupils, and there are also SEND-specific schools",,,✓,,,,,,,"Education Authority (e.g. County, Unitary)",,,,,,,,,,,,,,
Special protection areas,On the platform,On the platform,Protected sites,,,,,,,✓,,,✓,,,,,,,✓,,,,,An area containing bird habitats and species that need conservation,,Conservation of Habitats and Species Regulations 2017 (as amended),✓,,,,,,,Natural England,Natural England,Single,Small,,,,,,,,Environmental planning assessment,,,
Special roadside verges,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Uncultivated areas of grassland next to roads in an intensively farmed landscape,,,✓,,,,,,,Biological Record Centres,,,,,,,,,,,,,,
Species data,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Curated database of UK wildlife taxonomy ,,,,,,,,,,NBN Atlas,,,,,,,,,,,,,,
Strategic Industrial Location (SIL),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"London’s largest concentrations of industrial, logistics and related capacity for uses that support the functioning of London’s economy",,,✓,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Strategic road network,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"4,500 miles of motorways and major A roads ",,,✓,,,,,,,Highways England,,,,,,,,,,,,,,
Suitable Alternative Natural Greenspace (SANG),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,SANG provides an alternative greenspace to attract residents of new developments away from the protected and vulnerable sites,,Conservation of Habitats and Species Regulations 2017 (as amended),✓,,,,,,,Local planning authorities,,,,,,,,,,,,,,
Supplementary planning document (SPD),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Detailed advice or guidance on policies in an adopted local plan, and a material consideration in decision-making",,,✓,,,✓,,,,Local planning authorities,,,,,,,,,,,,,,
Tennis courts,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,Courts or areas with a net across the middle used for playing tennis,,,✓,,,,,,,Local planning authorities,,,,,,,,,,,Environmental planning assessment,,,
TOID,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,✓,A unique reference identifier assigned by Ordnance Survey to identify every topographical feature ,,,,,,,,,,,,,,,,,https://osdatahub.os.uk/downloads/open/OpenTOID,,,,,,,
Town centre boundaries,Archived,Archived,,,,,,,,,,,✓,,,,,,,,,,,,"Location, extent and function of retail areas",,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Traditional orchards,Backlog,Backlog,Historic Orchard Sites,,,,,,,,,,,,,,,,,,,,,,"Traditional orchards are priority habitats that are groups of fruit and nut trees planted on vigorous rootstocks at low densities in permanent grassland, and managed in a low intensity way",,,✓,,,,,,,Natural England,,,,,,,,,,,,,,
Traffic schemes,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Scheme to reduce motor vehicle traffic in residential streets,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Transaction data,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,✓,Records of land transactions,,,,,,,,,,,,,,,,,https://www.gov.uk/guidance/hm-land-registry-transaction-data,,,,,,,
Transport (under TCPA route),Archived,Archived,,,,,,,,,,,✓,,,,,,,,,,,,"Different types of transport infrastructure including walking and cycling routes, public transport, parking, large scale transport facilities such as ports, airports and interchanges for rail freight",,,,,,,,,,,,,,,,,,,,,,,,
Traveline national dataset,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,"Public transport timetables for bus, light rail, tram and ferry services",,,,,,,,,,Department for Transport,,,,,,,,,,,,,,
Tree preservation orders,Piloting,On the platform,,,,,,,,✓,,,✓,,,,,,,,,,,,The order document that protects a tree or group of trees,,,✓,✓,,✓,,Yes,,Local planning authorities,Local planning authorities,Multiple,Large,,,,,,,,Open planning software,11,43,https://digital-land.github.io/specification/specification/tree-preservation-order/
UK airport data,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,The presence of passenger and cargo airports in the UK.,,,✓,,,,,,,Civil Aviation Authority,,,,,,,,,,,,,,
UK house price data,Archived,Archived,,,,,,,,,,,,✓,,,,,,,,,,✓,Changes in the value of residential properties,,,,,✓,,,,,,,,,,,,https://www.gov.uk/government/collections/uk-house-price-index-reports#about-the-uk-hpi,,,,Development consent orders (NSIP),,,
Unitary Authority,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Where county and district councils in ‘two-tier’ areas are replaced with a single tier of ‘unitary’ authorities responsible for all functions of county and district councils,,,✓,,,,,,,,,,,,,,,,,,,,,
UPRN,Backlog,Backlog,,,,,,,,,,,,✓,,,,,,,,,,✓,Unique Property Reference Number (UPRN) is the unique identifier for every addressable location in the UK,,,✓,,,,,,,,,,,,,,https://osdatahub.os.uk/downloads/open/OpenUPRN,,,,Development consent orders (NSIP),,,
Urban development area,Archived,Archived,,,,,,,,,,,✓,,,,,,,,,,,,"Comprising residential, growth zones, commercial, industrial, public-use, and mixed-use zones",,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Use class,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,,✓,,✓,,Legal framework which determines what a particular property may be used for by its lawful occupants,,,✓,,✓,,,,,,,,,,,,,,,,,,,
USRN,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,✓,Unique Street Reference Number (USRN) is an 8 digit unique identifier for every street across Great Britain,,,✓,,,,,,,,,,,,,,https://osdatahub.os.uk/downloads/open/OpenUSRN,,,,,,,
Vertical aerial photography,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,✓,Airborne mapping technique,,,,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/vertical-aerial-photography,,,,,,,
Waste and recycling facilities,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Specialist locations where waste is taken to be sorted, separated, and recycled",,,✓,,,,,,,"Minerals and Waste Authority (e.g. County, Unitary)",,,,,,,,,,,,,,
Waste and recycling statistics,Backlog,Backlog,,,,,,TBC,,,,,✓,,,,,,,✓,,,,,Information on waste generation and management,,,,,✓,,,,,,,,,,,,,,,,Environmental planning assessment,,,
Water quality,Backlog,Backlog,,,,,,TBC,,,,,,✓,,,,,,,,,,,"The condition of water, including chemical, physical, and biological characteristics",,,✓,,✓,✓,,,,,,,,,,,,,,,Development consent orders (NSIP),,,
Water stressed areas,Backlog,Backlog,,,,,,TBC,,,,,,,,,,,,✓,,,,,Areas where the demand for water exceeds the available amount ,,,✓,,,,,,,Environment Agency,,,,,,,,,,,Environmental planning assessment,,,
Watercourses,Backlog,Archived,Main rivers;Canals;Reservoirs;Lake,,,,,TBC,,,,,,,,,✓,,,,,,,,A natural or artificial channel through which water flows,,,✓,,,,,,,,,,,,,,,,,,The biodiversity metric 4.0 and small sites metric GIS data standard,,,
Waterside regeneration zones,Archived,Archived,,,,,,,,,,,✓,,,,,,,,,,,,Regeneration areas to make the most of waterways ,,,✓,,,,,,,,,,,,,,,,,,,,,
Weather forecasting,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,✓,"A prediction of what the weather will be like in an hour, tomorrow, or further in the future",,,,,,,,,,,,,,,,,https://www.metoffice.gov.uk/services/data/datapoint,,,,,,,
Wellmaster hydrogeological database index,Archived,Archived,Borehole scans,,,,,,,,,,,,,,,,,,,,,,Information on water wells and boreholes,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
Wildbelt designations,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Land currently of low biodiversity value that is designated for nature's recovery,,,✓,,,,,,,,,,,,,,,,,,,,,
Wildlife,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Undomesticated animal species,,,✓,,,,,,,,,,,,,,,,,,,,,
World heritage sites,On the platform,On the platform,,,,,,,,✓,,,✓,✓,,,,✓,,,,,,✓,"A natural or man-made site, area, or structure that is protected because of its international importance ",,,✓,,,,,,UNESCO,Historic England,Historic England,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,,
