name,description,synonyms,github-discussion-number,stage,public,expected-number-of-records,frequency-of-updates,prioritised,datasets,specification,useful-links,legislation,slug,blocked-reason,os-declaration,tags
Common land and village greens,"Areas of open space that have been used for recreation by the inhabitants of the town, village or parish for generations",Commons and Village greens;Registered village greens;Town and village greens,133,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/common-land-and-village-green.md?plain=1,,"[{'link_url': 'https://www.gov.uk/guidance/town-and-village-greens-how-to-register', 'link_text': 'Town and village greens: how to register'}, {'link_url': 'https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/218584/village-green-1993.pdf', 'link_text': '[National dataset] - database of registered town or village greens in England'}]",https://www.legislation.gov.uk/ukpga/2006/26/contents,common-land-and-village-greens,,,constraint;environmental;landscape
Hazardous substance contravention notice,A hazardous substance contravention notice can be issued to a person who does not have the consent to store hazardous substances,,175,Backlog,True,,,False,,,,https://www.legislation.gov.uk/uksi/2015/483/contents/made,hazardous-substance-contravention-notice,,,constraint;data;development risk
Safety hazard areas,,Health and Safety Executive Consultation (HSE) Zones,51,Archived,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/safety-hazard-area.md?plain=1,,"[{'link_url': 'https://docs.google.com/document/d/1YgFbQ_-ye98hrGYQg9j5HXtPeVrr8Zcx_08NHAlWe6c/edit', 'link_text': 'Fact sheet url'}]",,safety-hazard-areas,,,
Usrn,Unique Street Reference Number (USRN) is an 8 digit unique identifier for every street across Great Britain,,73,Co-design,True,,Every 6 weeks,False,,,"[{'link_url': 'https://osdatahub.os.uk/downloads/open/OpenUSRN', 'link_text': 'National dataset documentation page'}]",,usrn,,,connectivity;data;infrastructure
Nuclear safety zones,,Nuclear zones,,Archived,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/nuclear-safety-zone.md?plain=1,,,,nuclear-safety-zones,,,
Protected views,Legal requirement to preserve the view of a specific place or historic building from another location,Protected vistas,238,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/protected-view.md?plain=1,,,https://www.legislation.gov.uk/uksi/2020/755/contents/made,protected-views,,,constraint;landscape;local plan;policies map
Public safety zone around airport,End of runway areas where development is restricted for public safety,,240,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/public-safety-zone-around-airport.md?plain=1,,,,public-safety-zone-around-airport,,,constraint;development risk
Railway tracks,The structures that trains run on,,242,Backlog,True,,,False,,,,,railway-tracks,,,connectivity;constraint;infrastructure
Flood risk zone 1,An area with a less than 0.1% (1 in 1000) chance of flooding from rivers or the sea,,,Archived,True,,,False,,,"[{'link_url': 'https://docs.google.com/document/d/1mc5UMRPGDU6ba7hNMPDqczdvB4Geu0Mm2aN19GRmASg/edit#heading=h.lb9do641w06g', 'link_text': 'Fact sheet url'}]",,flood-risk-zone-1,,,
Regionally important geological site,"Regionally important geological sites (RIGS) are the most important designated sites for geology and geomorphology, representing educational, historical and recreational resources. In London, RIGS sites should be protected as set out in Policy G9 of the London Plan",,243,Backlog,True,,,False,,,,,regionally-important-geological-site,,,constraint;environmental;local plan;policies map
Postcodes,A series of letters and numbers designated to an address for sorting mail,,71,Co-design,True,,,False,,,"[{'link_url': 'https://beta.ordnancesurvey.co.uk/products/code-point-open', 'link_text': 'National dataset documentation page'}]",,postcodes,,,data
Reservoirs,Artificial lakes where water is collected and stored,Watercourses,244,Backlog,True,,,False,,,,,reservoirs,,,amenity;controlled waters;infrastructure
River basin districts,"Areas of land and sea, made up of one or more neighbouring river basins together with their associated groundwaters and coastal waters",,245,Backlog,True,,,False,,,,,river-basin-districts,,,controlled waters;environmental
Self and custom build area,Plots for custom and self-build homes,,251,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/self-and-custom-buildarea.md?plain=1,,,,self-and-custom-build-area,,,local plan;opportunity
Contaminated land,"Land where substances are causing or could cause:

- significant harm to people, property or protected species
- significant pollution of surface waters (for example lakes and rivers) or groundwater
- harm to people as a result of radioactivity",Special Sites,138,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/contaminated-land.md?plain=1,,,https://www.legislation.gov.uk/uksi/2006/1380/made,contaminated-land,,,constraint;environmental;local plan;opportunity
National grid substation sites,Locations of national electricity transmission substations,,81,Screen,True,,,False,,,"[{'link_url': 'https://www.nationalgridet.com/network-and-assets/network-route-maps', 'link_text': 'National dataset documentation page'}]",,national-grid-substation-sites,Restrictive Licence,,energy;infrastructure;licensing restriction
Metropolitan open land (london),Open space that contributes to the structure of London,,210,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/metropolitan-open-land.md?plain=1,,,,metropolitan-open-land,,,constraint;footnote 7;landscape;local plan;policies map
Environmentally sensitive areas,"Agricultural areas which need special protection because of its landscape, wildlife or historical value. ",,,Archived,True,,,False,,,"[{'link_url': 'https://data.gov.uk/dataset/a5b0ccc4-a144-4027-91fa-49084ff07da2/environmentally-sensitive-areas-england', 'link_text': 'National dataset documentation page'}]",https://www.legislation.gov.uk/ukpga/1986/5/contents,environmentally-sensitive-areas,,,
Ramsar,An area of wetlands that is of international importance,Protected sites,41,On the platform,True,1291,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/ramsar.md?plain=1,,,,ramsar,,,constraint;environmental;footnote 7;local plan;policies map
"Safeguarding aerodromes, technical sites and military explosives storage areas","Areas which are safeguarded specifically for aerodromes, technical sites and military explosives storage.",Safeguarded aerodromes,247,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/safeguarded-military-explosives-site.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/safeguarded-aerodrome.md?plain=1,,,,safeguarding-aerodromes-technical-sites-and-military-explosives-storage-areas,,,constraint;local plan;safeguarded land
Transport (under TCPA route),"Different types of transport infrastructure including walking and cycling routes, public transport, parking, large scale transport facilities such as ports, airports and interchanges for rail freight",,,Archived,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/transport-under-tcpa-route.md?plain=1,,,,transport,,,
National grid towers,"Structural supports, known as pylons, that carry the UK’s network of high-voltage overhead power lines",,82,Screen,True,,,False,,,"[{'link_url': 'https://www.nationalgridet.com/network-and-assets/network-route-maps', 'link_text': 'National dataset documentation page'}]",,national-grid-towers,Restrictive Licence,,energy;infrastructure;licensing restriction
Country parks,Areas of countryside set aside for public recreation,,140,Backlog,True,,,False,,,"[{'link_url': 'https://data.gov.uk/dataset/e729abb9-aa6c-42c5-baec-b6673e2b3a62/country-parks-england', 'link_text': 'National dataset documentation page'}]",,country-parks,,,constraint;landscape;leisure;local plan
National Public Transport Access Nodes (NaPTAN),All public transport access points where you can get on or off public transport,,69,Test and iterate,True,1500000,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/transport-access-node.md?plain=1,,"[{'link_url': 'https://www.gov.uk/government/publications/national-public-transport-access-node-schema', 'link_text': 'Guidance on National public transport access nodes'}]",,national-public-transport-access-nodes,,,amenity;connectivity;infrastructure
Nature improvement areas,Areas of the country where partnerships have been set up to enhance the natural environment,,85,Co-design,True,12,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/nature-improvement-area.md?plain=1,,"[{'link_url': 'https://data.gov.uk/dataset/a19c95e3-9657-457d-825e-3d2f3993b653/nature-improvement-areas', 'link_text': 'National dataset documentation page'}]",,nature-improvement-areas,,,bng;boundary;environmental
Control of major accident and hazard sites,Sites storing or handling large quantities of chemicals or hazardous substances that are covered by the Control of Major Accident Hazards (COMAH) Regulations,COMAH,139,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/control-of-major-accident-hazards-site.md?plain=1,,,https://www.legislation.gov.uk/uksi/2015/483/contents/made,control-of-major-accident-and-hazard-sites,,,constraint;development risk
Countryside stewardship scheme agreements,"Previous agreements that provided financial incentives for farmers, foresters and land managers to look after and improve their environments",,141,Backlog,True,,,False,,,,https://www.legislation.gov.uk/uksi/2023/159/contents/made,countryside-stewardship-scheme-agreements,,,local information
Article 4 Directions,An Article 4 direction is made by the local planning authority to remove all or some of the permitted development rights on a site in order to protect it,,30,On the platform,True,,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/article-4-direction-area.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/article-4-direction-rule.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/article-4-direction.md?plain=1,https://digital-land.github.io/specification/specification/article-4-direction/,"[{'link_url': 'https://docs.google.com/document/d/1HL7GkBJhYvTfUohy9djPQpP8NWgONRS-yrfpkl8ppNo/edit#heading=h.q1fqqglen3fg', 'link_text': 'Design process document'}]",https://www.legislation.gov.uk/uksi/2015/596/contents/made,article-4-directions,,"{'status': 'Presumption to publish', 'further_information_url': 'https://github.com/digital-land/data-standards-backlog/discussions/30#discussioncomment-10191053'}",constraint;odp;pdr
Flood storage areas,"Areas that act as a balancing reservoir, storage basin or balancing pond for flood control",flood storage area,68,Test and iterate,True,509,Quarterly,False,https://github.com/digital-land/specification/blob/main/content/dataset/flood-storage-area.md?plain=1,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-flood-storage-areas', 'link_text': 'National dataset documentation page'}]",,flood-storage-areas,,,constraint;environmental
Flood risk zones,Areas at risk from flooding from rivers or the sea,,46,On the platform,True,,Quarterly,False,https://github.com/digital-land/specification/blob/main/content/dataset/flood-risk-level.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/flood-risk-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/flood-risk-zone.md?plain=1,,"[{'link_url': 'https://www.gov.uk/guidance/flood-risk-and-coastal-change', 'link_text': 'Flood risk guidance'}, {'link_url': 'https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-flood-zone-2', 'link_text': 'Flood risk zone 2 map (data.gov.uk)'}]",,flood-risk-zones,,,constraint;environmental;local plan;policies map
Housing delivery test,Data centrally compiled by MHCLG to assess whether LPAs are meeting their housing targets and needs,,91,Co-design,True,,Annually,False,,,"[{'link_url': 'https://www.gov.uk/government/collections/housing-delivery-test', 'link_text': 'Housing delivery test collection on GOV.UK'}]",,housing-delivery-test,,,housing supply and delivery;local plan
Cropland,Areas of land used for growing crops,,144,Backlog,True,,,False,,,,,cropland,,,environmental;local information
Designated open space,Land laid out as a public garden or used for the purposes of public recreation,,147,Backlog,True,,,False,,,,,designated-open-space,,,constraint;landscape;local plan
Seabird nesting counts,Counts of breeding seabirds,,249,Backlog,True,,,False,,,,,seabird-nesting-counts,,,data;environmental
Development plan policies,,Local plan policies,149,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/development-policy-area.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/development-policy-category.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/development-policy-metric.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/development-policy.md?plain=1,,,,local-plan-policies,,,local plan
Bowling greens,"Areas of very smooth, short grass on which the game of bowls or lawn bowling is played",,64,Co-design,True,,Every 6 months,False,,,,,bowling-greens,,,amenity;infrastructure;leisure
Town centre boundaries,"Location, extent and function of retail areas",,,Archived,True,,,False,,,,,town-centre-boundaries,,,local plan
Drainage agreements and consents,"Agreements in place to drain buildings in combination into an existing sewer through a private sewer, or consent for a building, or building extension to be built over or near a drain, sewer or disposal main",,150,Backlog,True,,,False,,,,,drainage-agreements-and-consents,,,planning permission
Mineral safeguarding areas,Areas where known deposits of minerals are safeguarded,,211,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/mineral-safeguarding-area.md?plain=1,,,,mineral-safeguarding-areas,,,constraint;local plan;safeguarded land
Watercourses,A natural or artificial channel through which water flows,Main rivers;Canals;Reservoirs;Lake,,Archived,True,,,False,,,,,watercourses,,,local plan
Secondary healthcare,"Secondary healthcare includes facilities where patients have been referred, such as hospitals, mental health services, community health facilities and sexual health services",,250,Backlog,True,,,False,,,,,secondary-healthcare,,,amenity;health;local plan
Local geological site,"Non-statutory geological sites which are given protection through the planning process, designated by local authorities.",,202,Backlog,True,,,False,,,,,local-geological-site,,,constraint;environmental;local plan;policies map
Tree preservation orders,The order document that protects a tree or group of trees,,43,Co-design,True,,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/tree-preservation-order.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/tree-preservation-zone-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/tree-preservation-zone.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/tree.md?plain=1,https://digital-land.github.io/specification/specification/tree-preservation-order/,"[{'link_url': 'https://docs.google.com/document/d/1ziDNUExJiUWtMFI3x90T2G-HGtNldUOQrd13u-h6UHY/edit#heading=h.q1fqqglen3fg', 'link_text': 'Design process document'}, {'link_url': 'https://www.gov.uk/guidance/tree-preservation-orders-and-trees-in-conservation-areas', 'link_text': 'Tree preservation order guidance'}]",https://www.legislation.gov.uk/uksi/2012/605/contents/made,tree-preservation-orders,,"{'status': 'Presumption to publish', 'further_information_url': 'https://github.com/digital-land/data-standards-backlog/discussions/43#discussioncomment-10191133'}",constraint;environmental;local land charge
Allotments,"Land used by communities for growing vegetables, fruit, herbs or flowers which is not for profit",,64,Co-design,True,,Every 6 months,False,,,,,allotments,,,amenity;leisure;local information;local plan;policies map
Golf courses,Large areas of grass specially designed for people to play golf on,,64,Co-design,True,,Every 6 months,False,,,,,golf-courses,,,amenity;local plan
Sensitive areas - nitrates,Areas designated as being at risk from agricultural nitrate pollution,,252,Backlog,True,,,False,,,,,sensitive-areas-nitrates,,,controlled waters;environmental;local plan
Shellfish waters,Areas designated for the protection of shellfish growth and production,,253,Backlog,True,,,False,,,,,shellfish-waters,,,constraint;environmental
Sites of importance for nature conservation,Defined areas identified and selected for their nature conservation value,SINCs,254,Backlog,True,,,False,,,"[{'link_url': 'https://docs.google.com/document/d/1VbAfgd7dFrODkCpFEKFLAgAUfeodNTqEiDt1rL3cOO4/edit#heading=h.9rwg3m580tpf', 'link_text': 'Fact sheet url'}]",,sites-of-importance-for-nature-conservation,,,bng;constraint;environmental;local plan;policies map
Radon,A naturally occurring radioactive gas which may be found in high concentrations in indoor environments,,75,Co-design,True,,,False,,,"[{'link_url': 'https://www.bgs.ac.uk/datasets/radon-data-indicative-atlas-of-radon/', 'link_text': 'National dataset documentation page'}, {'link_url': 'https://www.bgs.ac.uk/download/radon-potential-indicative-atlas-data-for-great-britain/#', 'link_text': 'URL of national dataset'}, {'link_url': 'https://osdatahub.os.uk/downloads/open/Radon_Indicative_Atlas', 'link_text': 'Radon Indicative Atlas OS open data'}]",,radon,,,development risk;local plan
Social housing,"Social housing is more affordable than housing on the open market. It can be rented from housing associations or councils at reduced rents, or it can be part-sold, part-rented as shared ownership.",,255,Backlog,True,,,False,,,,,social-housing,,,local land charge;local plan
Sparsely vegetated land,Environments where plants are slow to establish and easily disturbed,,256,Backlog,True,,,False,,,,,sparsely-vegetated-land,,,bng;environmental
Locally listed buildings,"A building recognised by the local authority (but not nationally) as having local importance due to its architectural, historical or environmental significance",local heritage assets;local lists;local heritage;local heritage list sites,59,On the platform,True,,Unknown,False,https://github.com/digital-land/specification/blob/main/content/dataset/locally-listed-building.md?plain=1,,"[{'link_url': 'https://docs.google.com/document/d/1eVDL6kCLqI4v600yQqr0p5Eb_YSW9zSiT5St-Fcr4hc/edit?usp=sharing', 'link_text': 'Locally listed buildings information document'}]",,locally-listed-buildings,,,constraint;footnote 7;heritage;local plan;policies map
Energy performance certificates,"Certificates that contain:

- information about a property’s energy use and typical energy costs
- recommendations about how to reduce energy use and save money
- an energy efficiency rating from A (most efficient) to G (least efficient), valid for 10 years",EPC,155,Backlog,True,,,False,,,,,energy-performance-certificates,,,data;energy
Boundary line,Open OS product that maps every administrative boundary in detail for you,,77,Archived,True,,Every 6 months,False,,,,,boundary-line,,,
Environmental outcome reports,"A system of assessing environmental impacts from development, plans, projects and policies",,158,Backlog,True,,,False,,,,,environmental-outcome-reports,,,environmental;local plan
Special educational needs and disabilities (send),"Special educational needs and disabilities (SEND) can affect a child or young person’s ability to learn. Mainstream schools must provide access to services and extra support for SEND pupils, and there are also SEND-specific schools",,257,Backlog,True,,,False,,,,,special-educational-needs-and-disabilities,,,connectivity;education;local plan
Special roadside verges,Uncultivated areas of grassland next to roads in an intensively farmed landscape,,258,Backlog,True,,,False,,,,,special-roadside-verges,,,bng;constraint;environmental
Strategic areas for regeneration,"These areas are the Census Local Super Output Areas (LSOAs) in greatest socio-economic need. They fall within the 20 per cent most deprived LSOAs in England, using the Index of Multiple Deprivation. As set out within the London Plan (2021).",,259,Backlog,True,,,False,,,,,strategic-areas-for-regeneration,,,local plan;opportunity;policies map
Built up areas,"Land which is characteristic of a village, town or city",,63,Co-design,True,10000,Every 2 years,False,https://github.com/digital-land/specification/blob/main/content/dataset/built-up-area.md?plain=1,,"[{'link_url': 'https://data.gov.uk/dataset/15e3be7f-66ed-416c-b0f2-241e87668642/built-up-areas-december-2011-boundaries-v2', 'link_text': 'National dataset documentation page'}]",,built-up-areas,,,boundary
Strategic flood risk assessments,A Strategic Flood Risk Assessments are undertaken by local planning authorities and inform local flood risk,,260,Backlog,True,,,False,,,"[{'link_url': 'https://www.gov.uk/guidance/local-planning-authorities-strategic-flood-risk-assessment', 'link_text': 'How to prepare a strategic flood risk assessment'}]",,strategic-flood-risk-assessments,,,constraint;environmental;local plan
Strategic housing market assessments (shmas),,,261,Backlog,True,,,False,,,,,strategic-housing-market-assessments,,,local plan
Enterprise zone,Areas where commercial and industrial businesses can get incentives to set up or expand,,157,Research,True,,,False,,,,,enterprise-zone,,,local plan;opportunity
Essex wildlife trust reserves,Nature reserves and discovery centres managed and protected by Essex Wildlife Trust,,159,Backlog,True,,,False,,,,,essex-wildlife-trust-reserves,,,constraint;environmental
Fast food exclusion zone,Zones where fast food outlets are banned because they'd be within 400m of schools and other places where children congregate,,161,Backlog,True,,,False,,,,,fast-food-exclusion-zone,,,constraint;local plan
Fibre to the premises (fttp),"Also known as ultrafast full fibre broadband, this involves laying fibre optic cables directly from the broadband exchange into homes, offering speeds of up to 1,000Mb (megabits per second) – around 30 times faster than standard fibre",,162,Backlog,True,,,False,,,,https://www.gov.uk/government/publications/levelling-up-the-united-kingdom,fibre-to-the-premises,,,amenity;infrastructure;local plan
Flood risk area,Areas where there is a risk of flooding from rivers or the sea,,164,Backlog,True,,,False,,,,,flood-risk-area,,,constraint;environmental;local plan
Grassland,Landscapes dominated by grasses,,168,Backlog,True,,,False,,,,,grassland,,,bng;environmental
Great crested newt risk zones,Areas where the distribution of great crested newts (GCN) has been categorised into zones,,169,Backlog,True,,,False,,,,,great-crested-newt-risk-zones,,,constraint;environmental
Strategic road network,"4,500 miles of motorways and major A roads",,263,Backlog,True,,,False,,,,,strategic-road-network,,,connectivity;infrastructure;local land charge
Suitable alternative natural greenspace (sang),SANG provides an alternative greenspace to attract residents of new developments away from the protected and vulnerable sites,,264,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/suitable-alternative-green-space.md?plain=1,,,https://www.legislation.gov.uk/uksi/2017/1012/contents/made,suitable-alternative-natural-greenspace,,,constraint;environmental;local plan;policies map
Supplementary planning document (spd),"Detailed advice or guidance on policies in an adopted local plan, and a material consideration in decision-making",,265,Backlog,True,,,False,,,,,supplementary-planning-document,,,local plan
Traditional orchards,"Traditional orchards are priority habitats that are groups of fruit and nut trees planted on vigorous rootstocks at low densities in permanent grassland, and managed in a low intensity way",Historic Orchard Sites,267,Backlog,True,,,False,,,,,traditional-orchards,,,bng;constraint;environmental
Great crested newts edna pond surveys,Surveys of ponds to detect newt environmental DNA,,170,Backlog,True,,,False,,,,,great-crested-newts-edna-pond-surveys,,,data;environmental
Groundwater source protection zones,Zones that provide additional protection to safeguard drinking water quality,Source protection zones,172,Backlog,True,,,False,,,,,groundwater-source-protection-zones,,,constraint;controlled waters;environmental
Groundwater vulnerability,"Whether groundwater has a high, medium or low risk of pollution",,173,Backlog,True,,,False,,,,,groundwater-vulnerability,,,constraint;controlled waters;environmental
Habitat networks,Sets of separate areas of habitat that are close enough together to connect in some way,,174,Backlog,True,,,False,,,,,habitat-networks,,,bng;constraint;environmental
Heathland and shrub,Land that has at least 25% cover of woody species such as gorse or heather,,176,Backlog,True,,,False,,,,,heathland-and-shrub,,,bng;environmental
Heritage action zone,Grant-funded projects restoring historic environments,,177,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/heritage-action-zone.md?plain=1,,,,heritage-action-zone,,,constraint;heritage;local plan
Heritage assets of archaeological interest,"An area that holds, or potentially holds, evidence of past human activity worthy of expert investigation",,178,Backlog,True,,,False,,,,,heritage-assets-of-archaeological-interest,,,constraint;heritage;local plan;policies map
Heritage at risk,"Hostoric sites that are most at risk of being lost as a result of neglect, decay or inappropriate development",,179,Backlog,True,,,False,,,,,heritage-at-risk,,,constraint;heritage;local plan
Higher education,"Both undergraduate and postgraduate courses, typically attended in higher education institutions, such as Universities.",,180,Backlog,True,,,False,,,,,higher-education,,,amenity;education;local plan
Historic environment record,"Details of local archaeological sites and finds, historic buildings and historic landscapes",,182,Backlog,True,,,False,,,,,historic-environment-record,,,constraint;heritage
Historic stone quarry,Area where quarrying of stone was previously carried out,,183,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/historic-stone-quarry.md?plain=1,,,,historic-stone-quarry,,,constraint;development risk
Hs2 safeguarded area,Protected land that might be needed to build the HS2 railway,,185,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/hs2-safeguarded-area.md?plain=1,,,https://www.legislation.gov.uk/ukpga/2017/7/contents/enacted,hs2-safeguarded-area,,,constraint;local plan;policies map;safeguarded land
Public parks and gardens,"Accessible, high quality opportunities for informal recreation and community events, including urban parks, country parks, regional parks, forest parks, and formal gardens",,64,Co-design,True,,Every 6 months,False,,,,,public-parks-and-gardens,,,amenity;constraint;leisure;local plan
Employment allocations,Sites that have been identified for employment use,,153,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/employment-allocation.md?plain=1,,,,employment-allocations,,,local plan;opportunity
Educational establishment,"Educational establishments in the UK including nurseries, primary and secondary schools",Primary schools;Secondary schools,78,Test and iterate,True,50000,Weekly,False,https://github.com/digital-land/specification/blob/main/content/dataset/educational-establishment.md?plain=1,,"[{'link_url': 'https://get-information-schools.service.gov.uk/', 'link_text': 'Get Information about Schools service'}]",,educational-establishment,,,amenity;connectivity;local plan
Play spaces,"Children's play provision, including local areas for play (LAP), locally equiped areas for play (LEAP), and neighbourhood equipped area of play (NEAP).",,64,Co-design,True,,Every 6 months,False,,,,,play-spaces,,,amenity;leisure;local plan;policies map
Local landscape area,"Areas in Scotland which are given a local designation to sure that the landscape is not damaged by inappropriate development, and to encourage positive landscape management",Historic (non-designated) rural landscape/local landscape area,205,Backlog,True,,,False,,,,,local-landscape-area,,,constraint;landscape;local plan;policies map
Historic parks and gardens,"Designed landscapes of special historical interest because of their layout, features and architectural decoration",,50,On the platform,True,1716,Fortnightly,False,https://github.com/digital-land/specification/blob/main/content/dataset/park-and-garden-grade.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/park-and-garden.md?plain=1,,"[{'link_url': 'https://historicengland.org.uk/listing/the-list/data-downloads', 'link_text': 'National dataset documentation page'}, {'link_url': 'https://historicengland.org.uk/content/data-downloads-gis/parks-and-gardens/', 'link_text': 'URL of national dataset'}]",,historic-parks-and-gardens,,,constraint;footnote 7;heritage;local plan;policies map
Scheduled monuments,A site that's legally protected because of its historical importance,Ancient monuments;Scheduled Archaeological Sites,292,On the platform,True,19995,Fortnightly,False,https://github.com/digital-land/specification/blob/main/content/dataset/scheduled-monument.md?plain=1,,,,scheduled-monuments,,,constraint;footnote 7;heritage;local land charge;local plan;policies map
Protected wreck sites,The restricted area around the wreck of a nationally important vessel to prevent any interference,,296,On the platform,True,57,Fortnightly,False,https://github.com/digital-land/specification/blob/main/content/dataset/protected-wreck-site.md?plain=1,,,,protected-wreck-sites,,,constraint;footnote 7;heritage
Hedgerows,Any boundary line of trees or shrubs over 20m long and less than 5m wide,,304,Screen,True,,,False,,,"[{'link_url': 'https://docs.google.com/document/d/1NafrVW_dC2nvDTDBQvey-271aLLFpGlCpN-N30OZDn4/edit#heading=h.lb9do641w06g', 'link_text': 'Fact sheet url'}]",,hedgerows,,,bng;environmental
Battlefields,Areas registered with Historic England as a battlefield of historical significance,,313,On the platform,True,47,Fortnightly,False,https://github.com/digital-land/specification/blob/main/content/dataset/battlefield.md?plain=1,,"[{'link_url': 'https://historicengland.org.uk/listing/the-list/data-downloads', 'link_text': 'National dataset documentation page'}, {'link_url': 'https://historicengland.org.uk/content/data-downloads-gis/battlefields/', 'link_text': 'URL of national dataset'}]",,battlefields,,,constraint;footnote 7;heritage
Indoor sports and leisure facilities,Multi-sports building where a range of sport and recreational activities can take place,,186,Backlog,True,,,False,,,,,indoor-sports-and-leisure-facilities,,,amenity;leisure;local plan;policies map
Safeguarded wharves,Wharves in London which have been given special status to ensure they are retained as working wharves and are protected from redevelopment,,246,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/safeguarded-wharf.md?plain=1,,,,safeguarded-wharves,,,constraint;local plan;safeguarded land
Local planning authority,The planning department of the district or borough council,,36,On the platform,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/local-planning-authority.md?plain=1,,,,local-planning-authority,,,boundary;local plan
Area of deficiency in access to nature,Areas over 1km walking distance from Sites of importance for Nature Conservation (SINCs),,111,Backlog,True,,,False,,,,,area-of-deficiency-in-access-to-nature,,,local information;local plan
Cemetery,A cemetery provided and maintained by a burial authority,,64,Co-design,True,,Every 6 months,False,,,,,cemetery,,,amenity;constraint;local plan
Council wards,Local areas that have been divided for voting purposes,Wards;Electoral wards,74,Test and iterate,True,8396,Quarterly,False,https://github.com/digital-land/specification/blob/main/content/dataset/ward.md?plain=1,,"[{'link_url': 'https://beta.ordnancesurvey.co.uk/products/boundary-line', 'link_text': 'National dataset documentation page'}, {'link_url': 'https://geoportal.statistics.gov.uk/documents/4d9aa61b06a64ec1b7cc4aecbcfbb7a9/about', 'link_text': 'ONS dataset documentation page'}]",,council-wards,,,boundary;local plan
Designated neighbourhood forums,Organisations or groups empowered to lead the neighbourhood planning process in a neighbourhood area where there is no town or parish council,,146,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/neighbourhood-forum.md?plain=1,,,https://www.legislation.gov.uk/uksi/2012/637/contents/made,designated-neighbourhood-forums,,,boundary;local plan
Fire and rescue stations,"Buildings which store firefighting equipment, such as fire engines and hoses, as well as providing working and living spaces for firefighters and support staff",,163,Backlog,True,,,False,,,,,fire-and-rescue-stations,,,infrastructure;local plan
National nature reserves,"Areas where wildlife, plants and animals are protected to allow them to thrive",,48,On the platform,True,1214,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/national-nature-reserve.md?plain=1,,"[{'link_url': 'https://data.gov.uk/dataset/726484b0-d14e-44a3-9621-29e79fc47bfc/national-nature-reserves-england', 'link_text': 'National dataset documentation page'}, {'link_url': 'https://docs.google.com/document/d/1ULS_aunj8r-Iv5kZ5IelEM_wBGxfS98bKXn4X7hvXkg/edit#heading=h.lb9do641w06g', 'link_text': 'Fact sheet url'}]",,national-nature-reserves,,,constraint;environmental;local plan
Priority habitats,"The UK Biodiversity Action Plan (UK BAP) refers to a number of priority habitats, including terrestrial, freshwater and marine habitats. Each priority habitat has a corresponding Habitat Action Plan (HAP)",,297,Archived,True,,,False,,,,,priority-habitats,,,bng;constraint;environmental;footnote 7;local plan
